seq1_id,seq2_id,tm_score,evalue
cath|4_4_0|1at6A00,cath|4_4_0|132lA00,0.991000,2.96e-26
cath|4_4_0|1at6A00,cath|4_4_0|1at5A00,1.000000,8.61e-26
cath|4_4_0|1at6A00,cath|4_4_0|1a2yC00,0.981100,1.67e-23
cath|4_4_0|1at6A00,cath|4_4_0|133lA00,0.987100,2.63e-19
cath|4_4_0|1at6A00,cath|4_4_0|1b5zA00,0.989300,4.92e-19
cath|4_4_0|1at6A00,cath|4_4_0|1b7mA00,0.987100,5.58e-19
cath|4_4_0|1at6A00,cath|4_4_0|1b5xA00,0.986200,5.58e-19
cath|4_4_0|1at6A00,cath|4_4_0|134lA00,0.987300,1.18e-18
cath|4_4_0|1at6A00,cath|4_4_0|1b7lA00,0.985300,1.05e-18
cath|4_4_0|1at6A00,cath|4_4_0|1b5wA00,0.988200,1.62e-18
cath|4_4_0|1at6A00,cath|4_4_0|1b5uA00,0.986500,1.73e-18
cath|4_4_0|1at6A00,cath|4_4_0|1b5vA00,0.986800,2.08e-18
cath|4_4_0|1at6A00,cath|4_4_0|1b5yA00,0.986100,3.23e-18
cath|4_4_0|1at6A00,cath|4_4_0|1alcA00,0.930800,1.63e-11
cath|4_4_0|1at6A00,cath|4_4_0|153lA00,0.577200,1.66e+00
cath|4_4_0|1at6A00,cath|4_4_0|1a62A02,0.357400,4.52e+00
cath|4_4_0|1at6A00,cath|4_4_0|1a62A01,0.357400,4.52e+00
cath|4_4_0|1at6A00,cath|4_4_0|1am7B00,0.265000,3.74e+00
cath|4_4_0|1at6A00,cath|4_4_0|1b77A00,0.376300,4.52e+00
cath|4_4_0|1at6A00,cath|4_4_0|1a31A04,0.196900,2.27e+00
cath|4_4_0|1at6A00,cath|4_4_0|1a31A03,0.196900,2.27e+00
cath|4_4_0|1at6A00,cath|4_4_0|1a31A02,0.196900,2.27e+00
cath|4_4_0|1at6A00,cath|4_4_0|1b1jA00,0.319600,4.24e+00
cath|4_4_0|1at6A00,cath|4_4_0|1aj5A00,0.372100,5.45e+00
cath|4_4_0|1at6A00,cath|4_4_0|1a36A04,0.209700,3.98e+00
cath|4_4_0|1at6A00,cath|4_4_0|1am7C00,0.235300,6.18e+00
cath|4_4_0|1at6A00,cath|4_4_0|1auoA00,0.386300,7.94e+00
cath|4_4_0|1at6A00,cath|4_4_0|1b6gA00,0.383800,6.18e+00
cath|4_4_0|1at6A00,cath|4_4_0|1awcA00,0.330000,8.46e+00
cath|4_4_0|1at6A00,cath|4_4_0|1b1eA00,0.312000,8.46e+00
cath|4_4_0|1at6A00,cath|4_4_0|1am7A00,0.226200,8.46e+00
cath|4_4_0|1at6A00,cath|4_4_0|169lA00,0.306500,9.59e+00
