method,level,Top 1,Top 3,Top 5,Top 10
student,class,0.909,0.952,0.972,0.986
student,architecture,0.831,0.883,0.906,0.931
student,topology,0.746,0.782,0.801,0.822
student,superfamily,0.687,0.725,0.744,0.758
tmvec1,class,0.913,0.964,0.98,0.989
tmvec1,architecture,0.86,0.908,0.918,0.944
tmvec1,topology,0.804,0.828,0.831,0.853
tmvec1,superfamily,0.772,0.782,0.789,0.799
tmvec2,class,0.932,0.969,0.981,0.989
tmvec2,architecture,0.856,0.909,0.924,0.941
tmvec2,topology,0.779,0.81,0.827,0.842
tmvec2,superfamily,0.736,0.759,0.772,0.785
foldseek,class,0.7947421638018201,0.9201213346814965,0.9544994944388271,0.9767441860465116
foldseek,architecture,0.6966632962588474,0.8230535894843276,0.8695652173913043,0.916076845298281
foldseek,topology,0.647118301314459,0.7694641051567239,0.8048533872598584,0.8351870576339737
foldseek,superfamily,0.6198179979777553,0.7330637007077856,0.7644084934277048,0.7896865520728008
